"Season","GameDate","TeamName","OpponentName","Score","GameId"
1968,1968-10-19,"Füchse Berlin","TS Esslingen 1890","20:19","b6732e1f-3960-11ef-8aa2-2906cc9fb6bc"
1968,1968-12-08,"Hamburger SV","THW Kiel","12:17","ac2957fc-3960-11ef-a946-ffa068a44a47"
1968,1969-01-18,"S3L Handball","TV Hochdorf","27:16","b4b45baa-3960-11ef-a877-2906cc9fb6bc"
1968,1968-11-24,"Eintracht Hildesheim","RSV Mülheim/Ruhr","13:16","b37f04b2-3960-11ef-90c4-2906cc9fb6bc"
1968,1968-10-12,"TV Hochdorf","TV 05/07 Hüttenberg","13:10","b4209342-3960-11ef-9ddc-2906cc9fb6bc"
1968,1968-11-09,"GWD Minden","BSV Solingen 1898","14:11","ab496f26-3960-11ef-bfc7-ffa068a44a47"
1968,1969-02-08,"GWD Minden","RSV Mülheim/Ruhr","22:23","abf478d3-3960-11ef-a86a-ffa068a44a47"
1968,1969-01-29,"TuS 05 Wellinghofen","Eintracht Hildesheim","29:10","ad23e475-3960-11ef-8b14-ffa068a44a47"
1968,1969-02-01,"RSV Mülheim/Ruhr","Eintracht Hildesheim","20:18","b39ddc3b-3960-11ef-8bc9-2906cc9fb6bc"
1968,1969-01-11,"S3L Handball","TV 05/07 Hüttenberg","22:13","b56946d9-3960-11ef-8748-2906cc9fb6bc"
1968,1968-11-30,"TV Hochdorf","SpVgg 1887 Möhringen","13:13","b45ccfaa-3960-11ef-9a5d-2906cc9fb6bc"
1968,1969-01-17,"FRISCH AUF! Göppingen","TS Esslingen 1890","19:19","b727091f-3960-11ef-8c2d-2906cc9fb6bc"
1968,1968-12-28,"Füchse Berlin","SpVgg 1887 Möhringen","12:11","b6a48d1c-3960-11ef-bcdb-2906cc9fb6bc"
1968,1968-10-04,"Füchse Berlin","S3L Handball","12:16","b4f1b3cb-3960-11ef-b023-2906cc9fb6bc"
1968,1969-01-19,"Hamburger SV","RSV Mülheim/Ruhr","14:11","ac8ad9a6-3960-11ef-af1d-ffa068a44a47"
1968,1969-02-08,"Eintracht Hildesheim","VfL Gummersbach","18:27","aaed813b-3960-11ef-ac59-ffa068a44a47"
1968,1968-12-21,"BSV Solingen 1898","VfL Gummersbach","11:22","aa9257ca-3960-11ef-8686-ffa068a44a47"
1968,1968-12-21,"GWD Minden","TuS 05 Wellinghofen","17:7","ab908f30-3960-11ef-b092-ffa068a44a47"
1968,1969-02-08,"TV 05/07 Hüttenberg","TSV Birkenau","14:11","b6308063-3960-11ef-96ff-2906cc9fb6bc"
1968,1969-01-11,"SpVgg 1887 Möhringen","FRISCH AUF! Göppingen","16:14","b77276ab-3960-11ef-8116-2906cc9fb6bc"
1968,1969-02-02,"TS Esslingen 1890","TV 05/07 Hüttenberg","17:11","b7357dd5-3960-11ef-a782-2906cc9fb6bc"
1968,1968-12-28,"TV 05/07 Hüttenberg","TV Hochdorf","13:9","b491ca48-3960-11ef-af10-2906cc9fb6bc"
1968,1968-11-03,"SpVgg 1887 Möhringen","TV 05/07 Hüttenberg","11:8","b76370b2-3960-11ef-9e6f-2906cc9fb6bc"
1968,1969-02-09,"Hamburger SV","TuS 05 Wellinghofen","12:8","acb1d07a-3960-11ef-95c9-ffa068a44a47"
1968,1968-11-30,"RSV Mülheim/Ruhr","GWD Minden","12:12","ab6ce4ab-3960-11ef-a97d-ffa068a44a47"
1968,1969-02-08,"SpVgg 1887 Möhringen","TV Hochdorf","22:18","b4d49da9-3960-11ef-b922-2906cc9fb6bc"
1968,1969-03-21,"TV 05/07 Hüttenberg","Füchse Berlin","10:15","b6e493dd-3960-11ef-a1e5-2906cc9fb6bc"
1968,1968-12-28,"TSV Birkenau","TS Esslingen 1890","16:14","b6024f7e-3960-11ef-ad6a-2906cc9fb6bc"
1968,1969-01-11,"GWD Minden","Eintracht Hildesheim","39:18","abb7c18b-3960-11ef-a9e3-ffa068a44a47"
1968,1969-03-01,"TS Esslingen 1890","SpVgg 1887 Möhringen","23:11","b743ef95-3960-11ef-b96a-2906cc9fb6bc"
1968,1968-11-02,"RSV Mülheim/Ruhr","Hamburger SV","11:16","ac05ebcc-3960-11ef-96a5-ffa068a44a47"
1968,1968-12-21,"TV 05/07 Hüttenberg","FRISCH AUF! Göppingen","11:14","b7a3d2ab-3960-11ef-9eb3-2906cc9fb6bc"
1968,1969-01-12,"TS Esslingen 1890","Füchse Berlin","18:14","b6b4cff8-3960-11ef-98f8-2906cc9fb6bc"
1968,1968-12-28,"VfL Gummersbach","RSV Mülheim/Ruhr","25:12","aaa43a5e-3960-11ef-9a62-ffa068a44a47"
